date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,230,86,0
2020-02-25,2,1,352,111,0
2020-02-26,2,1,473,172,0
2020-02-27,3,2,574,261,0
2020-02-28,3,2,669,381,0
2020-02-29,5,4,814,528,0
2020-03-01,7,5,684,696,0
2020-03-02,9,6,1026,862,0
2020-03-03,9,5,1324,1077,0
2020-03-04,14,6,1569,1379,0
2020-03-05,22,11,1852,1773,0
2020-03-06,35,21,2224,2213,0
2020-03-07,58,37,1784,2768,0
2020-03-08,81,49,1513,3271,0
2020-03-09,105,57,2400,3666,0
2020-03-10,120,57,3098,4174,0
2020-03-11,179,95,3663,4929,0
2020-03-12,222,111,4464,5778,0
2020-03-13,321,182,5615,6712,0
2020-03-14,351,171,4892,7932,0
2020-03-15,381,161,4360,9245,0
2020-03-16,620,349,6469,10431,0
2020-03-17,932,580,8212,11824,9
2020-03-18,1211,695,9427,13836,24
2020-03-19,1402,647,10727,16223,45
2020-03-20,1644,692,12649,18847,66
2020-03-21,1857,692,10593,21944,85
2020-03-22,2095,710,9290,24938,101
2020-03-23,2411,825,13315,27549,125
2020-03-24,2771,946,16292,30697,147
2020-03-25,3062,982,18308,34940,171
2020-03-26,3326,942,20391,39714,195
2020-03-27,3650,988,23325,44886,219
2020-03-28,4012,1082,19422,50559,242
2020-03-29,4277,1014,16680,56151,266
2020-03-30,4501,956,22958,61015,290
2020-03-31,4879,1033,23830,66642,314
2020-04-01,5167,1022,23493,73308,338
2020-04-02,5527,1065,23353,79910,362
2020-04-03,5946,1151,24292,85902,386
2020-04-04,6446,1337,19915,92188,410
2020-04-05,6730,1221,16446,98141,434
2020-04-06,7034,1140,18106,103187,458
2020-04-07,7309,1078,18674,108122,482
2020-04-08,7593,984,18122,113442,506
2020-04-09,8073,1111,17437,118628,530
2020-04-10,8588,1253,17204,123379,554
2020-04-11,8973,1240,13810,127951,578
2020-04-12,9409,1284,11257,132054,602
2020-04-13,9666,1107,12234,135467,626
2020-04-14,9981,1062,12344,138748,650
2020-04-15,10470,1173,11881,142211,674
2020-04-16,11067,1340,11271,145575,698
2020-04-17,11616,1431,10905,148614,722
2020-04-18,12109,1441,8488,151502,746
2020-04-19,12510,1373,6587,154062,770
2020-04-20,12768,1183,6746,156066,794
2020-04-21,13304,1297,6683,157844,818
2020-04-22,13832,1317,6064,159739,842
2020-04-23,14201,1125,5393,161529,866
2020-04-24,14862,1310,5001,162993,890
2020-04-25,15309,1277,3865,164270,912
2020-04-26,15656,1107,2971,165388,936
2020-04-27,15937,924,2816,166298,960
2020-04-28,16284,884,2563,167079,984
2020-04-29,16766,914,2092,167895,1008
2020-04-30,17224,907,1730,168514,1032
2020-05-01,17639,826,1277,168992,1050
2020-05-02,18108,758,938,169361,1050
2020-05-03,18373,562,632,169673,1050
2020-05-04,18586,390,447,169911,1050
2020-05-05,18891,315,320,170070,1050
2020-05-06,19094,203,203,170190,1050
2020-05-07,19208,114,114,170279,1050
2020-05-08,19289,81,81,170312,1050
2020-05-09,19349,60,60,170333,1050
2020-05-10,19386,37,37,170356,1050
2020-05-11,19399,13,13,170380,1050
2020-05-12,19400,1,1,170392,1050
2020-05-13,19400,0,0,170393,1050
