date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,230,86,0
2020-02-25,2,1,352,111,0
2020-02-26,2,1,473,172,0
2020-02-27,3,2,574,261,0
2020-02-28,3,2,669,381,0
2020-02-29,5,4,814,528,0
2020-03-01,7,5,684,696,0
2020-03-02,9,6,1026,862,0
2020-03-03,9,5,1324,1077,0
2020-03-04,14,6,1569,1379,0
2020-03-05,22,11,1852,1773,0
2020-03-06,35,21,2224,2213,0
2020-03-07,58,37,1784,2768,0
2020-03-08,81,49,1513,3271,0
2020-03-09,105,57,2400,3666,0
2020-03-10,120,57,3098,4174,0
2020-03-11,179,95,3663,4929,0
2020-03-12,222,111,4464,5778,0
2020-03-13,321,182,5615,6712,0
2020-03-14,351,171,4892,7932,0
2020-03-15,381,161,4360,9245,0
2020-03-16,620,349,6469,10431,0
2020-03-17,932,580,8212,11824,9
2020-03-18,1211,695,9427,13836,24
2020-03-19,1402,647,10727,16223,45
2020-03-20,1644,692,12649,18847,66
2020-03-21,1857,692,10593,21944,85
2020-03-22,2095,710,9290,24938,101
2020-03-23,2411,825,13315,27549,125
2020-03-24,2771,946,16292,30697,147
2020-03-25,3062,982,18308,34940,171
2020-03-26,3326,942,20391,39714,195
2020-03-27,3650,988,23325,44886,219
2020-03-28,4012,1082,19422,50559,242
2020-03-29,4277,1014,16680,56151,266
2020-03-30,4501,956,22958,61015,290
2020-03-31,4879,1042,25547,66652,314
2020-04-01,5167,1026,26657,73584,338
2020-04-02,5527,1061,27884,80886,362
2020-04-03,5946,1140,30527,87962,386
2020-04-04,6446,1317,25215,95605,410
2020-04-05,6730,1270,21078,103029,434
2020-04-06,7034,1204,26000,109374,458
2020-04-07,7309,1116,28862,116038,482
2020-04-08,7593,1061,29609,123998,506
2020-04-09,8073,1190,30034,132291,530
2020-04-10,8588,1333,31693,140146,554
2020-04-11,8973,1358,25803,148215,578
2020-04-12,9409,1417,21293,155844,602
2020-04-13,9666,1263,25122,162335,626
2020-04-14,9981,1216,26515,168917,650
2020-04-15,10470,1312,25933,176430,674
2020-04-16,11067,1487,24972,183891,698
2020-04-17,11616,1565,25093,190523,722
2020-04-18,12109,1576,19686,197070,746
2020-04-19,12510,1499,15313,203093,770
2020-04-20,12768,1290,16523,207977,794
2020-04-21,13304,1387,16882,212591,818
2020-04-22,13832,1434,16070,217491,842
2020-04-23,14201,1292,15081,222168,866
2020-04-24,14862,1509,14527,226365,890
2020-04-25,15309,1494,11229,230279,914
2020-04-26,15656,1346,8675,233727,938
2020-04-27,15937,1161,9316,236377,962
2020-04-28,16284,1117,9491,238864,986
2020-04-29,16766,1214,9049,241548,1010
2020-04-30,17224,1221,8506,244114,1034
2020-05-01,17639,1173,6494,246393,1058
2020-05-02,18108,1193,5044,248294,1082
2020-05-03,18373,1019,3937,249781,1106
2020-05-04,18586,872,4005,250955,1130
2020-05-05,18891,804,3735,252148,1154
2020-05-06,19183,776,3396,253230,1178
2020-05-07,19474,727,3103,254211,1202
2020-05-08,19838,792,3021,254963,1226
2020-05-09,20167,811,2359,255747,1230
2020-05-10,20455,737,1771,256481,1230
2020-05-11,20707,654,1596,257038,1230
2020-05-12,20941,615,1450,257488,1235
2020-05-13,21509,780,1214,257940,1236
2020-05-14,21915,730,961,258291,1236
2020-05-15,22304,631,760,258554,1236
2020-05-16,22652,503,535,258779,1236
2020-05-17,22964,354,356,258958,1236
2020-05-18,23204,240,240,259077,1236
2020-05-19,23363,159,159,259158,1236
2020-05-20,23455,92,92,259225,1236
2020-05-21,23514,59,59,259258,1236
2020-05-22,23552,38,38,259279,1236
2020-05-23,23574,22,22,259295,1236
2020-05-24,23585,11,11,259306,1236
2020-05-25,23586,1,1,259316,1236
2020-05-26,23586,0,0,259317,1236
