date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,230,86,0
2020-02-25,2,1,352,111,0
2020-02-26,2,1,473,172,0
2020-02-27,3,2,574,261,0
2020-02-28,3,2,669,381,0
2020-02-29,5,4,814,528,0
2020-03-01,7,5,684,696,0
2020-03-02,9,6,1026,862,0
2020-03-03,9,5,1324,1077,0
2020-03-04,14,6,1569,1379,0
2020-03-05,22,11,1852,1773,0
2020-03-06,35,21,2224,2213,0
2020-03-07,58,37,1784,2768,0
2020-03-08,81,49,1513,3271,0
2020-03-09,105,57,2400,3666,0
2020-03-10,120,57,3098,4174,0
2020-03-11,179,95,3663,4929,0
2020-03-12,222,111,4464,5778,0
2020-03-13,321,182,5615,6712,0
2020-03-14,351,171,4892,7932,0
2020-03-15,381,161,4360,9245,0
2020-03-16,620,349,6469,10431,0
2020-03-17,932,580,8212,11824,9
2020-03-18,1211,695,9427,13836,24
2020-03-19,1402,647,10727,16223,45
2020-03-20,1644,692,12649,18847,66
2020-03-21,1857,692,10593,21944,85
2020-03-22,2095,710,9290,24938,101
2020-03-23,2411,824,13314,27550,125
2020-03-24,2771,936,16137,30770,147
2020-03-25,3062,955,17705,35132,171
2020-03-26,3326,911,19217,40021,195
2020-03-27,3650,935,21307,45200,219
2020-03-28,4012,993,17253,50756,242
2020-03-29,4277,954,14307,56017,261
2020-03-30,4501,842,18796,60495,268
2020-03-31,4879,958,21916,65390,271
2020-04-01,5167,939,23409,71511,271
2020-04-02,5527,963,24658,78183,271
2020-04-03,5946,1040,27005,84887,271
2020-04-04,6446,1216,21990,91958,271
2020-04-05,6730,1128,18222,98756,271
2020-04-06,7034,1062,23447,104482,271
2020-04-07,7309,1001,26588,110678,271
2020-04-08,7593,950,27754,118227,271
2020-04-09,8073,1118,28622,126273,271
2020-04-10,8588,1277,30809,134093,271
2020-04-11,8973,1287,24875,142276,271
2020-04-12,9409,1330,20347,150028,271
2020-04-13,9666,1142,25274,156510,271
2020-04-14,9981,1103,27320,163294,271
2020-04-15,10470,1235,27361,171221,271
2020-04-16,11067,1413,27018,179334,271
2020-04-17,11616,1511,27857,186789,271
2020-04-18,12109,1535,21513,194359,271
2020-04-19,12510,1432,16521,201261,271
2020-04-20,12768,1208,19068,206799,271
2020-04-21,13304,1348,20310,212134,271
2020-04-22,13832,1404,19776,218137,271
2020-04-23,14201,1265,18800,224180,271
2020-04-24,14862,1495,18572,229550,271
2020-04-25,15309,1459,14164,234690,271
2020-04-26,15656,1301,10764,239247,271
2020-04-27,15937,1147,11976,242806,271
2020-04-28,16284,1073,12471,246236,271
2020-04-29,16766,1135,12127,249890,271
2020-04-30,17224,1183,11523,253530,271
2020-05-01,17639,1200,8690,256788,271
2020-05-02,18108,1212,6659,259506,271
2020-05-03,18373,1037,5244,261566,271
2020-05-04,18586,891,5837,263172,271
2020-05-05,18891,875,5898,264799,271
2020-05-06,19183,811,5681,266458,271
2020-05-07,19474,767,5505,268076,271
2020-05-08,19838,859,5558,269513,271
2020-05-09,20167,878,4327,270921,271
2020-05-10,20455,862,3356,272169,271
2020-05-11,20707,802,3646,273179,271
2020-05-12,20941,740,3740,274119,271
2020-05-13,21509,992,3673,275143,271
2020-05-14,21915,992,3498,276167,271
2020-05-15,22304,971,3505,277018,271
2020-05-16,22652,962,2796,277854,271
2020-05-17,22964,875,2148,278677,271
2020-05-18,23215,753,2104,279351,271
2020-05-19,23414,664,1980,279924,271
2020-05-20,23785,674,1747,280549,271
2020-05-21,24147,704,1548,281083,271
2020-05-22,24552,747,1460,281475,271
2020-05-23,24929,711,1088,281863,271
2020-05-24,25133,558,779,282201,271
2020-05-25,25274,424,649,282453,271
2020-05-26,25546,420,561,282649,271
2020-05-27,25847,390,432,282824,271
2020-05-28,26131,284,284,282977,271
2020-05-29,26307,176,176,283086,271
2020-05-30,26438,131,131,283131,271
2020-05-31,26538,100,100,283162,271
