date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,230,86,0
2020-02-25,2,1,352,111,0
2020-02-26,2,1,473,172,0
2020-02-27,3,2,574,261,0
2020-02-28,3,2,669,381,0
2020-02-29,5,4,814,528,0
2020-03-01,7,5,684,696,0
2020-03-02,9,6,1026,862,0
2020-03-03,9,5,1324,1077,0
2020-03-04,14,6,1569,1379,0
2020-03-05,22,11,1852,1773,0
2020-03-06,35,21,2224,2213,0
2020-03-07,58,37,1784,2768,0
2020-03-08,81,49,1513,3271,0
2020-03-09,105,57,2400,3666,0
2020-03-10,120,57,3098,4174,0
2020-03-11,179,95,3663,4929,0
2020-03-12,222,111,4464,5778,0
2020-03-13,321,182,5615,6712,0
2020-03-14,351,171,4892,7932,0
2020-03-15,381,161,4360,9245,0
2020-03-16,620,349,6469,10431,0
2020-03-17,932,580,8212,11824,9
2020-03-18,1211,695,9427,13836,24
2020-03-19,1402,647,10727,16223,45
2020-03-20,1644,692,12649,18847,66
2020-03-21,1857,692,10593,21944,85
2020-03-22,2095,710,9290,24938,101
2020-03-23,2411,825,13315,27549,125
2020-03-24,2771,946,16292,30697,147
2020-03-25,3062,982,18308,34940,171
2020-03-26,3326,942,20391,39714,195
2020-03-27,3650,988,23325,44886,219
2020-03-28,4012,1082,19422,50559,242
2020-03-29,4277,1014,16680,56151,266
2020-03-30,4501,951,22952,61021,290
2020-03-31,4879,1052,27200,66764,314
2020-04-01,5167,1023,29389,74193,338
2020-04-02,5527,1070,31069,82547,362
2020-04-03,5946,1163,34036,90968,386
2020-04-04,6446,1286,27323,100129,410
2020-04-05,6730,1205,22455,108591,432
2020-04-06,7034,1140,29002,115650,438
2020-04-07,7309,1094,33012,123249,443
2020-04-08,7593,1037,34269,132750,443
2020-04-09,8073,1148,35020,142813,444
2020-04-10,8588,1291,37092,152566,444
2020-04-11,8973,1294,29434,162700,444
2020-04-12,9409,1341,23775,172004,444
2020-04-13,9666,1196,29277,179523,444
2020-04-14,9981,1137,31596,187418,444
2020-04-15,10470,1284,31390,196652,444
2020-04-16,11067,1442,30621,206068,444
2020-04-17,11616,1506,30998,214690,444
2020-04-18,12109,1532,23762,223238,444
2020-04-19,12510,1447,18055,230918,444
2020-04-20,12768,1228,20530,236980,444
2020-04-21,13304,1340,21449,242744,444
2020-04-22,13832,1412,20607,249217,444
2020-04-23,14201,1259,19306,255552,444
2020-04-24,14862,1447,18788,261110,444
2020-04-25,15309,1411,14261,266346,444
2020-04-26,15656,1239,10732,270974,444
2020-04-27,15937,1069,11745,274552,444
2020-04-28,16284,1048,12110,277926,444
2020-04-29,16766,1133,11585,281510,444
2020-04-30,17224,1154,10815,285002,444
2020-05-01,17639,1157,8112,288086,444
2020-05-02,18108,1204,6207,290603,444
2020-05-03,18373,1046,4843,292549,444
2020-05-04,18586,881,5272,294025,444
2020-05-05,18891,847,5267,295473,444
2020-05-06,19183,790,4991,296950,444
2020-05-07,19474,774,4696,298360,444
2020-05-08,19838,846,4615,299595,444
2020-05-09,20167,849,3600,300764,444
2020-05-10,20455,801,2808,301802,444
2020-05-11,20707,725,2921,302643,444
2020-05-12,20941,680,2890,303427,444
2020-05-13,21509,888,2535,304323,444
2020-05-14,21915,870,2193,305087,444
2020-05-15,22304,871,1981,305681,444
2020-05-16,22652,817,1505,306214,444
2020-05-17,22964,723,1120,306660,444
2020-05-18,23215,580,928,307045,444
2020-05-19,23414,472,769,307335,444
2020-05-20,23785,489,630,307576,444
2020-05-21,24147,438,468,307783,444
2020-05-22,24480,333,333,307940,444
2020-05-23,24715,235,235,308038,444
2020-05-24,24895,180,180,308093,444
2020-05-25,25016,121,121,308152,444
2020-05-26,25098,82,82,308191,444
2020-05-27,25154,56,56,308217,444
2020-05-28,25187,33,33,308240,444
2020-05-29,25208,21,21,308252,444
2020-05-30,25219,11,11,308262,444
2020-05-31,25220,1,1,308272,444
