date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,230,86,0
2020-02-25,2,1,352,111,0
2020-02-26,2,1,473,172,0
2020-02-27,3,2,574,261,0
2020-02-28,3,2,669,381,0
2020-02-29,5,4,814,528,0
2020-03-01,7,5,684,696,0
2020-03-02,9,6,1026,862,0
2020-03-03,9,5,1324,1077,0
2020-03-04,14,6,1569,1379,0
2020-03-05,22,11,1852,1773,0
2020-03-06,35,21,2224,2213,0
2020-03-07,58,37,1784,2768,0
2020-03-08,81,49,1513,3271,0
2020-03-09,105,57,2400,3666,0
2020-03-10,120,57,3098,4174,0
2020-03-11,179,95,3663,4929,0
2020-03-12,222,111,4464,5778,0
2020-03-13,321,180,5613,6713,0
2020-03-14,351,167,4861,7957,0
2020-03-15,381,139,4302,9288,0
2020-03-16,620,336,6361,10476,0
2020-03-17,932,573,8044,11881,0
2020-03-18,1211,676,9077,13933,0
2020-03-19,1402,646,9987,16373,0
2020-03-20,1644,683,11266,19028,0
2020-03-21,1857,714,9197,21969,0
2020-03-22,2095,716,7744,24804,0
2020-03-23,2411,796,10525,27132,0
2020-03-24,2771,893,12448,29816,0
2020-03-25,3062,869,13572,33208,0
2020-03-26,3326,815,14618,36999,0
2020-03-27,3650,869,16218,40967,0
2020-03-28,4012,956,13228,45207,0
2020-03-29,4277,910,11034,49245,0
2020-03-30,4501,813,14492,52685,0
2020-03-31,4879,931,17090,56453,0
2020-04-01,5167,899,18535,61123,0
2020-04-02,5527,947,19661,66355,0
2020-04-03,5946,1070,21539,71712,0
2020-04-04,6446,1226,17357,77403,0
2020-04-05,6730,1097,14330,82719,0
2020-04-06,7034,1031,18424,87229,0
2020-04-07,7309,983,21108,92098,0
2020-04-08,7593,942,22331,98057,0
2020-04-09,8073,1104,23270,104460,0
2020-04-10,8588,1273,25177,110795,0
2020-04-11,8973,1237,20368,117416,0
2020-04-12,9409,1300,16756,123695,0
2020-04-13,9666,1119,20919,129031,0
2020-04-14,9981,1078,23025,134599,0
2020-04-15,10470,1183,23351,141243,0
2020-04-16,11067,1357,23468,148117,0
2020-04-17,11616,1482,24412,154591,0
2020-04-18,12109,1486,18933,161150,0
2020-04-19,12510,1395,14623,167167,0
2020-04-20,12768,1183,17299,172002,0
2020-04-21,13304,1281,18739,176842,0
2020-04-22,13832,1374,18720,182308,0
2020-04-23,14201,1243,18199,187890,0
2020-04-24,14862,1445,18329,193066,0
2020-04-25,15309,1415,14097,198077,0
2020-04-26,15656,1262,10834,202570,0
2020-04-27,15937,1072,12527,206124,0
2020-04-28,16284,1032,13408,209649,0
2020-04-29,16766,1112,13297,213498,0
2020-04-30,17224,1182,12865,217436,0
2020-05-01,17639,1185,9713,221093,0
2020-05-02,18108,1205,7479,224137,0
2020-05-03,18373,1055,5969,226465,0
2020-05-04,18586,888,7006,228300,0
2020-05-05,18891,862,7177,230267,0
2020-05-06,19183,831,6922,232284,0
2020-05-07,19474,802,6732,234269,0
2020-05-08,19838,889,6841,236079,0
2020-05-09,20167,914,5240,237875,0
2020-05-10,20455,877,4031,239457,0
2020-05-11,20707,828,4512,240673,0
2020-05-12,20941,788,4863,241771,0
2020-05-13,21509,1031,4817,243080,0
2020-05-14,21915,1025,4607,244432,0
2020-05-15,22304,1016,4595,245647,0
2020-05-16,22652,1014,3619,246778,0
2020-05-17,22964,929,2842,247809,0
2020-05-18,23215,834,3048,248656,0
2020-05-19,23414,719,3037,249480,0
2020-05-20,23785,767,2763,250406,0
2020-05-21,24147,808,2569,251196,0
2020-05-22,24552,861,2464,251873,0
2020-05-23,24929,867,1869,252539,0
2020-05-24,25133,692,1365,253130,0
2020-05-25,25274,529,1260,253587,0
2020-05-26,25546,543,1209,253953,0
2020-05-27,25847,552,1089,254304,0
2020-05-28,26185,569,964,254607,0
2020-05-29,26456,544,842,254856,0
2020-05-30,26771,509,615,255083,0
2020-05-31,26994,387,423,255276,0
