date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,230,86,0
2020-02-25,2,1,352,111,0
2020-02-26,2,1,473,172,0
2020-02-27,3,2,574,261,0
2020-02-28,3,2,669,381,0
2020-02-29,5,4,814,528,0
2020-03-01,7,5,684,696,0
2020-03-02,9,6,1026,862,0
2020-03-03,9,5,1324,1077,0
2020-03-04,14,6,1569,1379,0
2020-03-05,22,11,1852,1773,0
2020-03-06,35,21,2224,2213,0
2020-03-07,58,37,1784,2768,0
2020-03-08,81,49,1513,3271,0
2020-03-09,105,57,2400,3666,0
2020-03-10,120,57,3098,4174,0
2020-03-11,179,95,3663,4929,0
2020-03-12,222,111,4464,5778,0
2020-03-13,321,182,5615,6712,0
2020-03-14,351,171,4892,7932,0
2020-03-15,381,161,4360,9245,0
2020-03-16,620,349,6469,10431,0
2020-03-17,932,580,8212,11824,9
2020-03-18,1211,695,9427,13836,24
2020-03-19,1402,647,10727,16223,45
2020-03-20,1644,692,12649,18847,66
2020-03-21,1857,692,10593,21944,85
2020-03-22,2095,710,9290,24938,101
2020-03-23,2411,825,13315,27549,125
2020-03-24,2771,946,16292,30697,147
2020-03-25,3062,982,18308,34940,171
2020-03-26,3326,942,20391,39714,195
2020-03-27,3650,988,23325,44886,219
2020-03-28,4012,1082,19422,50559,242
2020-03-29,4277,1014,16680,56151,266
2020-03-30,4501,956,22958,61015,290
2020-03-31,4879,1035,27361,66672,314
2020-04-01,5167,1002,30085,73888,338
2020-04-02,5527,1065,32866,82003,362
2020-04-03,5946,1158,37297,90409,386
2020-04-04,6446,1319,30709,99744,410
2020-04-05,6730,1244,26061,108734,434
2020-04-06,7034,1198,35430,116316,458
2020-04-07,7309,1171,41053,125220,482
2020-04-08,7593,1183,42895,136735,506
2020-04-09,8073,1295,43492,149326,547
2020-04-10,8588,1349,45616,161655,589
2020-04-11,8973,1325,35950,174338,613
2020-04-12,9409,1429,29015,185625,632
2020-04-13,9666,1354,35286,194789,639
2020-04-14,9981,1321,37551,204402,643
2020-04-15,10470,1412,36783,215511,648
2020-04-16,11067,1510,35348,226641,650
2020-04-17,11616,1518,35190,236804,650
2020-04-18,12109,1539,26755,246643,650
2020-04-19,12510,1457,20037,255399,650
2020-04-20,12768,1278,22522,262148,650
2020-04-21,13304,1352,23391,268479,650
2020-04-22,13832,1451,22049,275567,650
2020-04-23,14201,1283,20272,282441,650
2020-04-24,14862,1481,19478,288328,650
2020-04-25,15309,1427,14781,293775,650
2020-04-26,15656,1289,11059,298577,650
2020-04-27,15937,1116,11688,302320,650
2020-04-28,16284,1044,11782,305726,650
2020-04-29,16766,1114,11017,309277,650
2020-04-30,17224,1139,10134,312629,650
2020-05-01,17639,1140,7591,315521,650
2020-05-02,18108,1148,5736,317893,650
2020-05-03,18373,1007,4449,319688,650
2020-05-04,18586,834,4649,321062,650
2020-05-05,18891,801,4598,322320,650
2020-05-06,19183,802,4327,323625,650
2020-05-07,19474,763,4060,324854,650
2020-05-08,19838,836,4045,325863,650
2020-05-09,20167,830,3167,326876,650
2020-05-10,20455,808,2452,327782,650
2020-05-11,20707,741,2441,328542,650
2020-05-12,20941,658,2269,329217,650
2020-05-13,21509,839,1948,329944,650
2020-05-14,21915,845,1642,330525,650
2020-05-15,22304,820,1412,330974,650
2020-05-16,22652,764,1053,331349,650
2020-05-17,22964,601,711,331694,650
2020-05-18,23215,442,514,331958,650
2020-05-19,23414,341,394,332120,650
2020-05-20,23708,294,294,332251,650
2020-05-21,23904,196,196,332352,650
2020-05-22,24013,109,109,332439,650
2020-05-23,24098,85,85,332463,650
2020-05-24,24160,62,62,332486,650
2020-05-25,24198,38,38,332510,650
2020-05-26,24212,14,14,332534,650
2020-05-27,24214,2,2,332546,650
2020-05-28,24215,1,1,332547,650
2020-05-29,24215,0,0,332548,650
